relative_path	category	size_bytes	sha256
results/l3_measured_final_validation.md	result	240	e1d9e76f5734cf5913af6248072b18a712d8dfbc1f6d437ed8ca36f2e1944538
results/layer_coverage_summary.json	result	1424	7e6fb562c39c1e67d59e6093ebd53227294097f26eb481439879881d31d0bda9
results/p0_case_contract_chunks/CASE_full.md	result	35624	3a7a4f762619cb9bcf80eacb9bb791f59707bd52322e5dbcc58b6a6d11445f63
results/p0_case_contract_chunks/chunk_0000.md	result	3810	7c4627839c871d231eeba028e3654ec9872095fab9bf0aa82f39d4fae86bc48e
results/p0_case_contract_chunks/chunk_0001.md	result	7707	02eb5f33244d616419b6267e8cfd836bd7075145cf2fb334086840348bc883ed
results/p0_case_contract_chunks/chunk_0002.md	result	5497	1472100f9a72732fa7e34b8d8843c115de8c04b79d6fc021290dd4cda3184e7f
results/p0_case_contract_chunks/chunk_0003.md	result	5519	e4ab39fceb1b19e75111c329587d9eba562ecd08da39f8fda1c079227e481f47
results/p0_case_contract_chunks/chunk_0004.md	result	5617	9900a4ffc412b880820f348b7eb488eddc4b5b13d40d8879f2f01067c8c041ba
results/p0_case_contract_chunks/chunk_0005.md	result	6897	80d16b1917c6fcf12f531f2691b6117042ed21a184cd4154c01f1aff0f023db5
results/p0_case_contract_chunks/chunk_0006.md	result	571	21ab6f4ca2ce4db6990b50dc9f74e99f6ca2648141df287c2451ff195c5cdb2d
results/p0_case_contract_chunks/manifest.json	result	2237	03298ed45f038d455134efc71808e768e6b4009d67c993bc5cb7c65be0d195db
results/p2_candidate_counts.json	result	7943	1907ae741d311a49c3abf78829e30272f20f86d857c9fe0880472d75aaf92f10
results/p3_l1.json	result	1211	954dfcfdda3a25bc7f635de6f5ba070dcf13bee50b16d455cd21fa677c0e06ef
results/p3_l2.json	result	7391	fdcbd552520531bec7b931ff85b4c1444396d68e24eef56921ad19d0e07dce00
results/p3_l5.json	result	1396	8a83914411442f010cb5ab6354e219bc8b4156fa487e87988587f4bae4b3de9a
results/p7_analysis_figure_quality_check.json	result	1457	18b4873322aa899f1b7054e5c36f7615975b9818470e654ed2ccb490ae0d85a1
results/p7_analysis_figure_quality_check.md	result	1508	a4c0aa322e1c282e442ebd8b8f6184fd7112bed9514b2a962877acd0c074cd89
results/p7_blocker_inventory.json	result	12531	1b03037e52f6ddbfd252dbaf35c4087bd17209f3fe8438d99183e99969c1ba19
results/p7_blocker_inventory.md	result	6332	cd2c5e77239f0edbd04f22c51c7786bfcb558f3cd6a99eb13ec8d46f69376c7d
results/p7_input_table_quality_check.json	result	779	5be0d1f65932486fe7bd57e1f18d125640127d23b2ee4feea3a023a4ce98f99e
results/p7_input_table_quality_check.md	result	300	a5d7da2caadf79fdb6af627afd960ef6e3795ea09bb849c2a4e749ae28b53e41
results/p7_l5_parse_repair_summary.json	result	1029	c0ce44eb94e19167da87683cd13ec641b73ea21f1ef3751ea49c378c7d019371
results/p7_l5_parse_repair_summary.md	result	480	bbfa72fe5eaa956899f4632d792c211730034af04e18433392a7d3e7a5e055df
results/p7_step0_input_audit.json	result	16601	dc53359e25fae13fdbadfce06d21368fcb8eaa330e130fd77853a2e7fdbcaa6c
results/p7_step0_input_audit.md	result	676	d9cbcd4920c6791c7d15ad1991a7495445c28403a246656f03a8e4adea573119
results/p7_step0_status_audit.json	result	1081	4e71905efd90c5703146eb9620592130d6d49d12ed779c8dc1a15432b4bf5a93
results/p7_step0_status_audit.md	result	995	f633c8f4cdcf7a01e3ca52c869f20979fde44c075282515e9fa9bff935871ea5
results/phase_p0_environment.json	result	3929	3a99b38ace6e5ac25c53a90884a43c729ae95af06bfca5a2404c82b27d0c288e
results/phase_p1_eccite_inputs.json	result	18089	3fd1ada4660e44976ff33965050a9ba6a58d9751ae76dc03dc8f7c24870f40f6
results/phase_p1_eccite_inputs.md	result	2434	92ef9e7fbd17c81d187589ef907be296f3f3fff27b9a7e0bdbe28a369a8ce940
results/phase_p2_subset_plan.json	result	10711	9cb66b0d39ce45909965c981c4e2d84e3b5d46bb9cef855f5379107f8bb470ac
results/phase_p2_subset_plan.md	result	847	ab6ec27a7c07426f6cec0dbc5e05dfb58be862cd5aec07837c9596304b2a7362
results/phase_p3_external_alignment.json	result	17577	f73fb85e062cc0a7d66bb50f18f0c3c4197e26708033e54bdf54a180ddc32eac
results/phase_p3_external_alignment.md	result	158	75244afafdbca20d977002a77a54d1247283f8007c351394ca140bd4ca864b26
results/phase_p4_atlas_construction.json	result	1594	449c03875458f1c4e5a28ec4e3acc003ac4fbe2d35060b95d8d521dcafeb7868
results/phase_p4_atlas_construction.md	result	269	c368f10b253cd7205e75f11aab1b5d231ae1f0b47c7756d0a256d126b573a384
results/phase_p4_l4_discovery.json	result	1412	b2445325cacf5377f9ba990071573b6b1e118234620908913f30ca80bf413ddd
results/phase_p4_l4_discovery.md	result	319	1572f5a408cf14f007685b903f6ff6202b54013cf898c15699daca91139468d7
results/phase_p4_l4_measured_repair.json	result	1279	339cbbeb5b0291607fbac23f1b702097e0a015563bb77da35ad6481641cb60d7
results/phase_p4_l4_measured_repair.md	result	543	2fd02b125f2a8ae17bb5f9896e7d1970893360943171a9c7ee373fce251344e4
results/phase_p5_quality_and_coverage.json	result	3592	5cd54c4f94867e06fdb2af81a10d8b13d05bd4c517adb6d182ec48df01ca156a
results/phase_p5_quality_and_coverage.md	result	358	151e85ad0dd06daa9ae1eca98f2e08903c20cf5eecdfa9cad238d0e268d04099
results/phase_p6_run_summary.json	result	3781	3b7a670746b8d23cc5ac5916949c6a53ad70c447b3970c9760004b7b20d59b79
results/phase_p6_run_summary.md	result	149	5b48d0f2fd18ea3d8e2b4bd6367a44fae7d580108e8d9221e19eadd7191a32d3
results/phase_p7_context_causal_summary.json	result	2230	2ba68f97d09f8f1b3ad347845902698eac1be02f953fb0b2632ca73bb92a3fd8
results/phase_p7_context_causal_summary.md	result	345	1f051f77346aba9aa2dd6a628795c96c47f1d4e95d4d41a535c9d8aa613f5f76
results/quality_gap_audit.json	result	1496	502dd446c3a3e769a5f724db0efa6a946feed84de5b2525b0abd4c91affa30eb
results/quality_gap_audit.md	result	1474	9ebb87a3f421fc927a268deb2e16d58034b6d5b06d280cfa67dbbfde361e723a
results/quality_gap_audit_CASE_full.md	result	37095	c4a94f77482d6dd913cd861144bad0f6cfab031fc2d1a74c6498d474d6e5217d
results/quality_gap_audit_CASE_manifest.json	result	2151	9cabbdbcb81f6cff14f455b2aee8a920caaa3552ad58cc2cf0b0a25f8af0eb34
results/quality_gap_audit_minimal_processed_contract.json	result	2041	3c33b5682a8d2c31dd47ef4532cf9c7fe3fa073221bbdb038cf8b729a9c0e304
results/quality_gap_audit_minimal_processed_contract.md	result	909	8fbdbdf2b51de0d5b395f445d78d88dbf61753e1a5c2c5ad32f10bfe7c935f30
results/quality_gap_audit_status_consistency.json	result	5480	fb4fecb90c97af3676df4812c16f8065baa8bf6c701328bc0acd853b2da47c1f
results/quality_gap_audit_status_consistency.md	result	1164	d6afad82d034384b3345282bf3a81554b33e5ed1021c498bff377d5503e6f783
results/run_summary.json	result	2163	cf322fe53c7d66dcaacc6d477c9ca1ec8b6768ce30cf0d2356b7d9d14d69990d
results/run_summary_copy_for_inspect.json	result	1008	387660520293b506d94c908d4f4969d4e9f68dac0a3b9715d0cb121998bc0d37
results/run_summary_structure.txt	result	498	a89cd64eb5d56b315b8842e41515bdc772a3f3cad6768db3168f0722f95dc9bb
results/stage2_1_minimal_processed_inspection.json	result	1827	c8f42494c2bae1a2d02ce30ef7e96fea518981a56f383cf5cbe3ac839a742ff2
results/stage2_1_minimal_processed_inspection.md	result	784	d773d3a71fb7ce9f1b5ca91c92c6982c5b78fefc20bc867bd1337cbaedf91598
results/stage2_2a_manifest_cdna_summary.json	result	564	fa641f0a605aacdfe76f1ce3f7f2bb06b9f21e7b7e940c5d078e0233429fa296
results/stage2_2a_manifest_cdna_summary.md	result	162	943193ede68adc2132e63fc0977f019777493f32709a8a0f76ce756c829e4978
results/stage2_2b_l4_from_summary.json	result	174	41a5e6b1ee2c5fcf92590467b26d4f58fb5c403da3449d8095e97df8b2ee4777
results/stage2_2b_l4_from_summary.md	result	114	d2e879acc146826547be015d047fbec49a728ed5c54edc2dcdac87e0bac3555f
results/stage2_2b_l4_response.json	result	602	933a5b08b3b37d5689ed8b0afd732fe92f5e023bee3f71ed2810108ff6c8fc1b
results/stage2_2b_l4_response.md	result	505	96f07401deb65c4bcf994c6d943cf8f2e82b203ebe6cf6efdba545ac1c131747
results/stage2_2c_l3_response_or_blocker.json	result	332	9e069e66dc372b1d228aac6c1d6cbfb813456e89e68efa2b19398cc1a0928c11
results/stage2_2c_l3_response_or_blocker.md	result	298	a6d78a518917dca62c786416dac14bdbecd063454d2e3258a2a64a6e3dc9ccb2
results/stage3_1_schema_l4_metadata_repair.json	result	345	19fcbccc7ad2083715aac6008163cc9f1d28c3696e06bf4da6f5b13157beedd4
results/stage3_1_schema_l4_metadata_repair.md	result	112	f92a569c891efa0c3b5aa4b63c96b34cc51478805959505215cb3953c25144e3
results/stage3_2_alignment_audit_l4_repair.json	result	619	9122e5b0b87fc80c9692942b61d0eb5866c7b25024d7889dbf3f29ebfce9caa7
results/stage3_2_alignment_audit_l4_repair.md	result	703	e16566b11d25288615e39309ec05cd2df611cb211b4f6b3548f12d2a8fc7328e
results/stage3_3_closure_sync.json	result	1982	0f93477ccd3032d36ea054730f9cbe5561e7d8e593919b6402d994719c73eb57
results/stage3_3_closure_sync.md	result	1797	cdddfe1edfe3029887c649421633f7dabb4a6e8e4760172261d701dd220e46b9
results/stage3_3_deep_explore_output.txt	result	3784	0146d552fc5049e7343ec44ee1cc8c23401914aa4120b084c52a73fcbfcdc797
results/stage3_3_explore_manifest.json	result	1444	d836769935300cb20c2191cf35cd050ab3b902a564ba31b854fe01c9266f5bbc
results/stage3_3_run_summary_p7_repair.json	result	2432	c09b11b4628227e188965cb7f60f7c268ac776252fff675777e3269d9bdac608
results/stage3_3_run_summary_p7_repair.md	result	1950	092ef363fb53eeaa7fabc8f1e23a720c03c83285ebd78663541c49772529dbf7
results/stage3_3_sync_followup.json	result	2915	2b8b36a295264ca711e9ca1975e78aa5abdd6319714a50b7c620138c0f924b1b
results/stage3_3_sync_followup.md	result	2207	3b2c8446aa7f5ca7ab6abc020835849bfb090339e0b6af025c8dda9b8072ae45
results/stage3_4_blocker_fix.json	result	345	04d6a95a605506514e1eedc6422267563dde9b941aa89c2e9a0fd1a9dfea22f1
results/stage3_4_blocker_fix.md	result	255	e6f283980e2c248a9a16042c92cd4ceae14625707d9e06960370c58444923042
results/stage3_4_closure_audit.json	result	6160	da1087f05cd9634d2bb6ac4828405c57e46cf38e54a19edb7d4b2ea388e6fe1e
results/stage3_4_closure_audit.md	result	2175	49b788903ceefd3bb087283226e4cf2018c36a9cf9d2d7485da938161ecbd292
results/stage3_4_closure_min.json	result	2408	052aadde63ec029103f3d8e0d8565eba16d652f179b0bbd1ce713463c7d45695
results/stage3_4_closure_min.md	result	2409	b63f6bc9c90940a72fd673211ff54fc3cb3ce2508d655009641e0aced26bed3a
results/stage3_4_final_closure_audit.json	result	4535	344e72a25bd83ddbbfc78928d645d00e87e8418b99ec2c599fcc98b9dadf5228
results/stage3_4_final_closure_audit.md	result	1700	7748afcca6947680905e66adfcfa86f96ea4ad9026394c28a5d564e19b0e3882
results/stage3_4_manifest_json_repair.json	result	4428	cd67297e328a9e450b5c74702e234e9d629a15a17fa07938f52f6ada4b445373
results/stage3_4_manifest_json_repair.md	result	103	59b719c7ef01a6d9a7e4bc0c422d3e424c8a1a90bbf8b47fdf75a3164f862959
results/stage3_4_manifest_quality_provenance_recovery.json	result	8975	6a3af5195102d59ba2167b02c054102f217639fd3e1e88f0e3276ae869cd9966
results/stage3_4_manifest_quality_provenance_recovery.md	result	292	635cafaf3576ef935fcbc8228b5ba96f9dd66bf950b5e0fab6fa602dbd87cd53
results/stage3_4_manifest_quality_provenance_repair.json	result	2212	c407018c60cd36e07279bc1aaa78018664c2a3b82241addce880b39c8d2da27b
results/stage3_4_manifest_quality_provenance_repair.md	result	1910	4ea136e69ae0e7447c86b0776031173bd0ec93c42a835e5bcf62bb6db611d614
results/stage4_l3_blocker.json	result	1075	1c8b279652dd9a057b07b2c558e38781f289c928a9c108be57f9fc2855054909
results/stage4_l3_blocker.md	result	481	f652acd245290e97d4da2e18d36d46155e300aa18002e408232a1ad317ba3e68
results/stage4_l3_quality_assessment.json	result	393	dddefd337c821c4da9fda05de7d239bfdf757246651d166576a740fa89db5f1c
results/stage4_l3_quality_assessment.md	result	284	87d096641faf2196a573535716ebd8790a3acea97d2b5cd2ab99b48450eef0ab
results/stage5_script_inventory.json	result	49625	199a5ebc2459bbfdb49a2abf1c284f121b91fbaa90eb5c6ea78d1809540bcd28
results/stage5_script_inventory.md	result	5958	56341685d19e69b3277442a22bd77b33f0bd65262cb94d4cdc4b5e80f5818f89
results/stage6_artifact_structure_probe.json	result	6596	5e8d1464aad84581ebef99eb0dc47aa8df92682ea8d917a39384c64390859828
results/stage6_final_quality_validation.json	result	1388	5695b111d6c722bc4fda3b6725b786060b6143531049c1487712c7582a87bf11
results/stage6_final_quality_validation.md	result	605	ed01bddb52fb8587e3bc71b7c4c0dae3d0db9d50ae6dbf2492ba76bebccf599e
results/stage6_p3_coverage_docs_probe.json	result	2327	b7295b0e277c6f1c0c380339bc6764f9065a61bf1f5c1e1231df27ca49a411eb
results/static_cross_scale_conditions_l0_l5.jsonl	result	30169	77224f37e50c898a1e64583dc57b8cb8930fbb781b1dfb44aec788d9d370f763
scripts/check_l3_optimized_background.py	script	1904	727a26c46c09b474eae023c60c6aa52f5a324e77f8e6bb624f28c1212fb2f365
scripts/compute_l3_guide_rna_response_from_raw_cdna_optimized.py	script	28647	0b9ecd725952bf112236b4f480b818854b6d4376485cd681ba6446e742eb03e5
scripts/inspect_l3_cell_id_formats.py	script	1019	c15a73113ab30c9b7e1859b02502e4f53ae6b0236416f6760ee6eb016bdcfefd
scripts/launch_l3_optimized_background.py	script	1720	4676649d879e0853cd0e452cf3079a3a5c8771e182b780cc734f87a3499ffe56
scripts/p0_case_audit.py	script	3097	43e8392da05a6861a84c248cadc58edbc8ee2ea88d7c2a04a1291a99778851e1
scripts/p0_commit_push.py	script	1768	5d5cd52450d47f812de09274352bd806846b105e4f4da68cda5d5b3ab4054587
scripts/p0_finalize.py	script	7323	26f37c5d18ee8e42f646fca2a812b886f05390d0c08d7343bb7dfe004ea893b3
scripts/p0_inspect_env.py	script	537	8ae5f3031c33b2856ebe035373b4d4ecd217beccecbf71c7636390589f5227f5
scripts/p0_readback.py	script	3383	fa6bff73a239299a9344fd6b30936110c085ca90a982bff8464287f1ce83d042
scripts/p0_readback2.py	script	758	77b144345e8062a56f2595b2991fc2bab04be9b07fefc2c7d47749590da0b53d
scripts/p0_repair_evidence.py	script	3062	250c9cb168d711295bbcd8fd27d0bc9bdc1325d87a30d1dd7e79801a7f24bfc3
scripts/p1_candidate_fix.py	script	5760	4453947cb8505d35b265be6ba18131cc8d9055a2f7852b7740481027d5904666
scripts/p1_consistency.py	script	5409	5107adb0534e1f4df8124e3aa2bc3320637b7dc3414604d7ecf7a07dcc24f9fe
scripts/p1_eccite_inspect.py	script	9092	f98b11649bc76487526dbff3fd0d2cd23186055761fdbf8ab92b3f40a63dc185
scripts/p1_repair.py	script	6842	fe5b6f6f981a9ba86adb704bb44029b85c1b0698fea23a8336aaca2f54c49321
scripts/p2_count_guides.py	script	2357	c66db300ae9d17eed73d8fa0f04737c190d3f00b480397128cead95468ff558f
scripts/p2_json_fix.py	script	1708	7009f0d2a78dcd0bd3bfe7fb5232fa615d4218b68a0b8860097927deb7dde910
scripts/p2_write_plan.py	script	4837	b5489435afae87fdb62611fc82e1b10b5a1c30bfecde3d111167786f715d7ffd
scripts/p3_audit_fix.py	script	2937	fee175cc6fb5e5b1d4ce9926ea8877dae7c227b5914c0fa4f39ab2fef63bddac
scripts/p3_commit_self.py	script	492	0c88ac5764a1f59a6414853bc6be8d39a010670e615817efb80db3aac418ecaa
scripts/p3_final.py	script	1162	8cc29d075377d400b2bf0d55f97b1ee605e7d20696babd2c33495b9471c9a783
scripts/p3_inspect.py	script	650	edd375a42b9cc974bd6d3b0047db0fc91d6499a6cdf7fca4755af8a04722e77c
scripts/p3_inspect2.py	script	1075	326bc6f45799a5082bf404dfcc893129858cb7da9e13b101c4f61bd26c72ed69
scripts/p3_inspect3.py	script	1118	41f84fb82b4a1b43c889f2186f09b80727831c7c97576b46b26ce83bfbbdf052
scripts/p3_l1_uniprot.py	script	1246	75478cfea8fea565171d7250b5625696cb74ecd91964c243cedf1b1521da9bf7
scripts/p3_l2_reactome.py	script	1247	c0fb19853911944b3d105e21b61453d66d9b0a63882d714e9b71552c7256c032
scripts/p3_l5_depmap.py	script	1681	7e67281122c1ba446c6f34aa6bb322272d6dc2c24d535c1162492e639617a8a4
scripts/p3_merge_status.py	script	3026	a5983474fe1732287ea3d2767c5297acc729c2e662bfb052dd14d5de8a877df6
scripts/p4_adt.py	script	3192	b7c0f1dab108a64984d138d67922ab7d51d8fcaf15a435133cbb9cd2a40f2a49
scripts/p4_artifacts.py	script	2213	87d577d8a92a80e57c7e4333050f676291ba3216d183829fdaacdb91b2df918d
scripts/p4_atlas_qc.py	script	2470	38c9859206aa3934dcffc273e1f988d63d535ac331ad1447cbde1bb1c6782824
